user.class_id,user.display_name,user.domain,user.ref,auth_service.ref,auth_service.ref_key
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-it | vpn-rd,aic-domain | aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686,vpn-hpc | vpn-op | vpn-rd,aic-domain | aic-domain | aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-op,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686,vpn-dev | vpn-it | vpn-rd,aic-domain | aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686,vpn-dev | vpn-it | vpn-rd,aic-domain | aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686,vpn-dev | vpn-it | vpn-rd,aic-domain | aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686 | 5686 | 5686,vpn-dev | vpn-hpc | vpn-it | vpn-op | vpn-rd,aic-domain | aic-domain | aic-domain | aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-op,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686,vpn-dev | vpn-rd | vpn-rd-ext,aic-domain | aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-hpc | vpn-hpc-ext,aic-domain | aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686 | 5686 | 5686 | 5686 | 5686 | 5686,Protected Users | vpn-dev | vpn-hpc | vpn-hpc-ext | vpn-it | vpn-op | vpn-rd | vpn-rd-ext,aic-domain | aic-domain | aic-domain | aic-domain | aic-domain | aic-domain | aic-domain | aic-domain,"CN=Protected Users,CN=Users,DC=aic,DC=gov,DC=eg | CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-op,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686 | 5686 | 5686 | 5686,vpn-dev | vpn-hpc | vpn-hpc-ext | vpn-it | vpn-op | vpn-rd,aic-domain | aic-domain | aic-domain | aic-domain | aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-op,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-hpc | vpn-hpc-ext,aic-domain | aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-dev | vpn-rd,aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686,vpn-dev | vpn-hpc | vpn-rd,aic-domain | aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686 | 5686 | 5686,vpn-dev | vpn-hpc | vpn-hpc-ext | vpn-rd | vpn-rd-ext,aic-domain | aic-domain | aic-domain | aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-rd | vpn-rd-ext,aic-domain | aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-dev | vpn-it,aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-dev | vpn-rd,aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686,vpn-dev | vpn-hpc | vpn-rd,aic-domain | aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-hpc | vpn-it,aic-domain | aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-it | vpn-rd,aic-domain | aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-hpc | vpn-rd,aic-domain | aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686 | 5686,vpn-dev | vpn-hpc | vpn-it | vpn-rd,aic-domain | aic-domain | aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-hpc | vpn-hpc-ext,aic-domain | aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-hpc | vpn-hpc-ext,aic-domain | aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-op,aic-domain,"CN=vpn-op,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-hpc | vpn-hpc-ext,aic-domain | aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc-ext,aic-domain,"CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-hpc-ext | vpn-rd-ext,aic-domain | aic-domain,"CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686,vpn-hpc | vpn-hpc-ext | vpn-rd-ext,aic-domain | aic-domain | aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-hpc | vpn-hpc-ext,aic-domain | aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686 | 5686,vpn-dev | vpn-hpc | vpn-rd,aic-domain | aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686 | 5686,vpn-dev | vpn-rd,aic-domain | aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg | CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg",LDAP Authentication,5
